coords.ordinal,coords.onset,coords.offset,coords.prompt_idx,coords.x,coords.y,coords.include,prompts.ordinal,prompts.onset,prompts.offset,prompts.prompt_idx,prompts.prompt_name,
0,12938,0,"271","1,857","917","yes",0,600,11840,"269","muppet Face",
1,24000,0,"275","1,531","513","yes",1,12320,15760,"271","hands",
2,25680,0,"277","1,330","373","yes",2,12320,20320,"272","trashcan",
3,29600,0,"278","874","451","yes",3,12400,20320,"270","child face",
4,32800,0,"279","643","476","yes",4,13120,20320,"273","muppet face",
5,32800,0,"280","1,391","444","yes",5,20360,23960,"274","muppet face",
6,32800,0,"281","1,225","920","yes",6,23000,25640,"275","children faces",
7,32800,0,"281","1,540","963","yes",7,25680,29560,"276","child face",
8,34640,0,"282","766","564","yes",8,25680,29560,"277","muppet face",
9,34640,0,"283","105","564","yes",9,29600,32760,"278","child face",
10,36800,0,"284","406","160","yes",10,32800,34600,"279","child face",
11,38040,0,"285","538","573","yes",11,32800,34600,"281","muppet hands",
12,40840,0,"288","289","600","yes",12,32800,34600,"280","muppet face",
13,48880,0,"291","509","448","yes",13,34640,37840,"282","Apple slices",
14,48880,0,"292","1,033","716","yes",14,34640,37840,"283","hands",
15,48880,0,"292","1,370","411","yes",15,35520,38000,"284","child face",
16,54840,0,"293","630","506","yes",16,38040,40800,"285","person face",
17,58000,0,"294","1,347","1,041","yes",17,38880,40800,"286","hands",
18,60120,0,"295","593","847","yes",18,38960,40800,"287","feet",
,,,,,,,19,40840,46120,"289","hands",
,,,,,,,20,40840,48360,"288","child face",
,,,,,,,21,40840,48840,"290","book",
,,,,,,,22,48880,54800,"291","muppet face",
,,,,,,,23,48880,54800,"292","children faces",
,,,,,,,24,54840,60120,"293","muppet face",
,,,,,,,25,54840,60120,"294","muppet hand",
,,,,,,,26,60160,60840,"295","children faces",
