video_block,time,salient_variable,video_path,start_time_s,end_time_s
Slow Hands,0:00,"hands, thread/needle",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,0.0,15.0
Slow Hands,0:15,"hands, sponge, plate, water",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,15.0,30.0
Slow Hands,0:30,"hands, orange, lemon",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,30.0,45.0
Slow Hands,0:45,"hands, stamps",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,45.0,60.72
Slow Inanimate,0:00,"plane, water",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,0.0,15.0
Slow Inanimate,0:15,truck,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,15.0,30.0
Slow Inanimate,0:30,hot air balloon,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,30.0,45.0
Slow Inanimate,0:45,train,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,45.0,60.7273
Slow People,0:00,"faces, hands, bike, dog",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,0.0,15.0
Slow People,0:15,"faces, hands, rocks",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,15.0,30.0
Slow People,0:30,"logs, hands, faces",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,30.0,45.0
Slow People,0:45,"Faces, hands, ball, bat",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,45.0,60.7607
Frank Complex,0:00,"face, mountain",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,0.0,5.0
Frank Complex,0:05,"face (baby), hands, ball",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,5.0,10.0
Frank Complex,0:10,"faces, bed, window",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,10.0,15.0
Frank Complex,0:15,"Faces, hands, plates, bouquet",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,15.0,20.0
Frank Complex,0:20,"faces, hands, ice cream",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,20.0,25.0
Frank Complex,0:25,"faces, hands, balls",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,25.0,30.0
Frank Complex,0:30,"Faces, hands, sift",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,30.0,35.0
Frank Complex,0:35,"faces, hands, glass",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,35.0,40.0
Frank Complex,0:40,"faces, hands, feet",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,40.0,44.0
Frank Complex,0:44,"faces, hands, cake, fruit bowl",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,44.0,46.0
Frank Complex,0:46,"face, hands, piano",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,46.0,50.0
Frank Complex,0:50,"faces, hands, teacup",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,50.0,55.0
Frank Complex,0:55,"faces, hands, bowl",/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_complex_stripped.mp4,55.0,60.32
Frank Objects,0:00,windmill with balls,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,0.0,5.0
Frank Objects,0:05,Rotating planetarium,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,5.0,14.0
Frank Objects,0:14,Windmill with dolphins,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/frank_objects_stripped.mp4,14.0,20.0
