prompt_idx,row_idx,video_block,time,video_path,start_time_s,end_time_s,annotation_raw,prompt,include_coord,exclude_coord
38,16,Sesame US 1,1:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_1_stripped.mp4,60.0,60.5605,eggs,eggs,,
39,17,Sesame US 2,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,0.0,4.0,face,face,,
40,17,Sesame US 2,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,0.0,4.0,face (monster),monster face,,
41,18,Sesame US 2,0:04,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,4.0,6.0,tires,tires,,
42,19,Sesame US 2,0:06,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,6.0,9.0,people (kids),kids people,,
43,19,Sesame US 2,0:06,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,6.0,9.0,hands,hands,,
44,20,Sesame US 2,0:09,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,9.0,10.0,face,face,,
45,20,Sesame US 2,0:09,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,9.0,10.0,monster (face),face monster,,
46,21,Sesame US 2,0:10,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,10.0,14.0,face (child),child face,,
47,21,Sesame US 2,0:10,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,10.0,14.0,face (monster),monster face,,
48,22,Sesame US 2,0:14,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,14.0,19.0,hands,hands,,
49,22,Sesame US 2,0:14,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,14.0,19.0,shovel,shovel,,
50,23,Sesame US 2,0:19,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,19.0,23.0,face,face,,
51,23,Sesame US 2,0:19,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,19.0,23.0,shovel,shovel,,
52,24,Sesame US 2,0:23,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,23.0,26.0,face,face,,
53,24,Sesame US 2,0:23,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,23.0,26.0,face (monster),monster face,,
54,25,Sesame US 2,0:26,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,26.0,29.0,shovel,shovel,,
55,26,Sesame US 2,0:29,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,29.0,31.0,face,face,,
56,26,Sesame US 2,0:29,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,29.0,31.0,face (monster),monster face,,
57,27,Sesame US 2,0:31,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,31.0,33.0,face,face,,
58,27,Sesame US 2,0:31,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,31.0,33.0,shovel,shovel,,
59,27,Sesame US 2,0:31,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,31.0,33.0,hand,hand,,
60,28,Sesame US 2,0:33,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,33.0,37.0,face,face,,
61,28,Sesame US 2,0:33,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,33.0,37.0,hand,hand,,
62,28,Sesame US 2,0:33,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,33.0,37.0,shovel,shovel,,
63,28,Sesame US 2,0:33,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,33.0,37.0,monster,monster,,
64,29,Sesame US 2,0:37,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,37.0,41.0,shovel,shovel,,
65,30,Sesame US 2,0:41,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,41.0,43.0,face,face,,
66,30,Sesame US 2,0:41,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,41.0,43.0,monster (face),face monster,,
67,31,Sesame US 2,0:43,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,43.0,46.0,shovel,shovel,,
68,32,Sesame US 2,0:46,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,46.0,48.0,face,face,,
69,32,Sesame US 2,0:46,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,46.0,48.0,monster (monster),monster monster,,
70,33,Sesame US 2,0:48,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,48.0,51.0,shovel,shovel,,
71,33,Sesame US 2,0:48,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,48.0,51.0,plant,plant,,
72,33,Sesame US 2,0:48,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,48.0,51.0,hand,hand,,
73,34,Sesame US 2,0:51,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,51.0,53.0,face,face,,
74,34,Sesame US 2,0:51,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,51.0,53.0,hand,hand,,
75,34,Sesame US 2,0:51,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,51.0,53.0,plant,plant,,
76,35,Sesame US 2,0:53,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,53.0,56.0,shovel,shovel,,
77,35,Sesame US 2,0:53,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,53.0,56.0,plant,plant,,
78,35,Sesame US 2,0:53,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,53.0,56.0,face,face,,
79,36,Sesame US 2,0:56,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,56.0,60.8274,face,face,,
80,36,Sesame US 2,0:56,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/sesameus_2_stripped.mp4,56.0,60.8274,face (monster),monster face,,
81,37,Slow Animals,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_animals_stripped.mp4,0.0,15.0,turtle,turtle,,
82,38,Slow Animals,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_animals_stripped.mp4,15.0,30.0,horse,horse,,
83,39,Slow Animals,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_animals_stripped.mp4,30.0,47.0,birds,birds,,
84,40,Slow Animals,0:47,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_animals_stripped.mp4,47.0,60.7273,ocean,ocean,,
85,40,Slow Animals,0:47,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_animals_stripped.mp4,47.0,60.7273,penguin,penguin,,
86,41,Slow Hands,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,0.0,15.0,hands,hands,,
87,41,Slow Hands,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,0.0,15.0,thread/needle,thread/needle,,
88,42,Slow Hands,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,15.0,30.0,hands,hands,,
89,42,Slow Hands,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,15.0,30.0,sponge,sponge,,
90,42,Slow Hands,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,15.0,30.0,plate,plate,,
91,42,Slow Hands,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,15.0,30.0,water,water,,
92,43,Slow Hands,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,30.0,45.0,hands,hands,,
93,43,Slow Hands,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,30.0,45.0,orange,orange,,
94,43,Slow Hands,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,30.0,45.0,lemon,lemon,,
95,44,Slow Hands,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,45.0,60.72,hands,hands,,
96,44,Slow Hands,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_hands_stripped.mp4,45.0,60.72,stamps,stamps,,
97,45,Slow Inanimate,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,0.0,15.0,plane,plane,,
98,45,Slow Inanimate,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,0.0,15.0,water,water,,
99,46,Slow Inanimate,0:15,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,15.0,30.0,truck,truck,,
100,47,Slow Inanimate,0:30,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,30.0,45.0,hot air balloon,hot air balloon,,
101,48,Slow Inanimate,0:45,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_inanimate_stripped.mp4,45.0,60.7273,train,train,,
102,49,Slow People,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,0.0,15.0,faces,faces,,
103,49,Slow People,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,0.0,15.0,hands,hands,,
104,49,Slow People,0:00,/labs/vislearnlab/experiments/movie-watching/stimuli/main_blocks/slow_people_stripped.mp4,0.0,15.0,bike,bike,,
