Video Block,Time,Salient Variable
Pixar Birds,1:11,face (big bird)
Pixar Birds,1:13,faces (small birds)
Pixar Birds,1:15,faces (small and big birds)
Pixar Birds,1:19,"face (big bird), wings (big bird), feet (big bird)"
Pixar Birds,1:21,"faces (small birds), feet (big bird), wire"
Pixar Birds,1:25,"faces (small birds), feet (big bird)"
Pixar Birds,1:37,"faces (small birds), feet (big bird), face (big bird)"
Pixar Birds,1:39,face (big bird)
Pixar Birds,1:43,faces (small birds)
Pixar Birds,1:47,"Small birds, big bird, wire, field"
Pixar Birds,1:48,"Faces (small birds), feet (big bird)"
Pixar Birds,1:51,faces (small birds)
Pixar Birds,1:59,feathers
Pixar Birds,2:02,"Face (big bird), body (big bird), feet (big bird)"
Pixar Birds,2:06,"face (big bird), feathers"
Pixar Birds,2:13,Face (small bird)
Pixar Birds,2:14,"face (small bird), face (big bird), wing (big bird), leaf"
Pixar Birds,2:20,"faces (small birds), face (big bird), wing (big bird)"
Pixar Birds,2:29,"face (big bird), wings (big bird)"
