system_time_stamp,time,left_x,left_y,left_valid,left_pupil,left_pupil_valid,right_x,right_y,right_valid,right_pupil,right_pupil_valid,gaze_x,gaze_y,pupil_size,events
438016953983,-529.0,1047.7825,466.9192,1,3.0347,1,937.5535,350.1014,1,3.0477,1,992.668,408.5103,3.0412,
438016957985,-525.0,1046.9748,463.372,1,3.0915,1,945.0829,340.4991,1,3.0047,1,996.0288,401.9356,3.0481,
438016961987,-521.0,1043.8164,444.2197,1,3.109,1,920.773,335.9706,1,3.0328,1,982.2947,390.0952,3.0709,
438016965989,-517.0,1041.7913,463.5593,1,3.1191,1,935.0856,338.2454,1,3.0063,1,988.4384,400.9024,3.0627,
438016969991,-513.0,1037.5416,456.6017,1,3.0938,1,930.7595,344.9377,1,3.0378,1,984.1506,400.7697,3.0658,
438016973993,-509.0,1058.7205,447.933,1,3.1081,1,929.5248,333.4112,1,3.0652,1,994.1226,390.6721,3.0867,
438016977996,-505.0,1046.5512,461.2951,1,3.0872,1,932.3582,345.8911,1,3.0236,1,989.4547,403.5931,3.0554,
438016981998,-501.0,1047.4479,461.7853,1,3.0906,1,919.684,334.5833,1,3.0318,1,983.5659,398.1843,3.0612,
438016986001,-497.0,1074.1295,444.7934,1,3.1006,1,931.1694,347.0607,1,2.9905,1,1002.6494,395.9271,3.0456,
438016990003,-493.0,1055.7724,450.3581,1,3.1289,1,931.8864,358.2561,1,3.0131,1,993.8294,404.3071,3.071,
438016994006,-489.0,1044.6513,446.5377,1,3.1239,1,915.0238,351.1975,1,3.0613,1,979.8375,398.8676,3.0926,
438016998009,-485.0,1048.3292,456.4405,1,3.075,1,917.7234,348.2449,1,3.0254,1,983.0263,402.3427,3.0502,
438017002012,-481.0,1041.8977,445.7775,1,3.106,1,930.8102,344.808,1,2.9928,1,986.3539,395.2927,3.0494,
438017006014,-477.0,1040.102,459.17,1,3.055,1,927.337,340.7634,1,3.0432,1,983.7195,399.9667,3.0491,
438017010014,-473.0,1037.5361,455.0646,1,3.0695,1,928.6874,363.971,1,2.9818,1,983.1118,409.5178,3.0257,
438017014014,-469.0,1043.0048,469.0053,1,3.0724,1,930.1178,341.8902,1,3.0208,1,986.5613,405.4478,3.0466,
438017018014,-465.0,1041.4566,449.9455,1,3.0839,1,939.9063,336.593,1,3.0158,1,990.6815,393.2692,3.0498,
438017022014,-461.0,1056.156,472.4522,1,3.045,1,907.1243,350.4665,1,3.0284,1,981.6401,411.4594,3.0367,
438017026014,-457.0,1048.1025,469.5017,1,3.0381,1,911.619,347.2643,1,3.0036,1,979.8607,408.383,3.0209,
438017030014,-453.0,1064.5635,435.1371,1,3.1089,1,911.6915,330.5137,1,3.013,1,988.1275,382.8254,3.061,
438017034014,-449.0,1057.6748,451.9544,1,3.0813,1,944.3119,344.2595,1,2.9736,1,1000.9933,398.107,3.0275,
438017038014,-445.0,1043.7104,468.0202,1,3.0014,1,926.099,350.0513,1,3.0564,1,984.9047,409.0358,3.0289,
438017042014,-441.0,1062.8545,458.1481,1,3.0719,1,916.0254,328.5951,1,3.022,1,989.44,393.3716,3.047,
438017046014,-437.0,1051.2465,469.1491,1,3.0626,1,899.3195,331.0801,1,3.028,1,975.283,400.1146,3.0453,
438017050014,-433.0,1047.3918,456.7448,1,3.0508,1,890.2994,336.4705,1,3.0476,1,968.8456,396.6076,3.0492,
438017054013,-429.0,1038.4139,463.3393,1,3.0503,1,934.2861,330.9198,1,3.0314,1,986.35,397.1295,3.0408,
438017058013,-425.0,1044.4186,450.2445,1,3.0949,1,927.1998,345.5235,1,2.9967,1,985.8092,397.884,3.0458,
438017062013,-421.0,1049.7732,455.0779,1,3.0603,1,942.4106,347.7091,1,2.9735,1,996.0919,401.3935,3.0169,
438017066013,-417.0,1047.8771,452.4085,1,3.0683,1,914.3064,322.1978,1,3.0728,1,981.0917,387.3031,3.0706,
438017070012,-413.0,1045.8703,476.0646,1,2.9962,1,918.5134,337.2957,1,3.0066,1,982.1918,406.6802,3.0014,
438017074012,-409.0,1052.9061,460.7469,1,3.0307,1,937.2466,343.2778,1,3.0124,1,995.0764,402.0123,3.0216,
438017078012,-405.0,1041.9831,442.0954,1,3.121,1,920.6649,337.0824,1,2.9868,1,981.324,389.5889,3.0539,
438017082012,-401.0,1046.6818,463.2328,1,3.0841,1,914.2338,338.0721,1,3.0115,1,980.4578,400.6525,3.0478,
438017086012,-397.0,1033.6858,468.9304,1,3.045,1,921.3637,339.5889,1,3.0135,1,977.5247,404.2596,3.0292,
438017090012,-393.0,1054.433,452.3638,1,3.0605,1,928.4833,340.9201,1,2.977,1,991.4581,396.642,3.0187,
438017094012,-389.0,1055.9068,458.9097,1,3.0819,1,928.3446,341.4041,1,2.9701,1,992.1257,400.1569,3.026,
438017098012,-385.0,1004.598,448.3782,1,3.0923,1,891.4375,357.7224,1,2.9696,1,948.0177,403.0503,3.0309,
438017102012,-381.0,990.7004,469.646,1,3.0542,1,867.4052,344.5748,1,3.0154,1,929.0528,407.1104,3.0348,
438017106012,-377.0,997.0496,446.4143,1,3.0542,1,862.6635,314.3471,1,3.0235,1,929.8565,380.3807,3.0389,
438017110012,-373.0,1017.4079,461.9224,1,3.0691,1,913.6775,327.5329,1,3.0243,1,965.5427,394.7276,3.0467,
438017114012,-369.0,1017.457,449.9917,1,3.0705,1,892.1576,332.1941,1,3.0144,1,954.8073,391.0929,3.0425,
438017118012,-365.0,1029.7365,451.4381,1,3.0847,1,883.632,326.3924,1,3.0341,1,956.6842,388.9152,3.0594,
438017122012,-361.0,1013.5764,467.1375,1,3.0385,1,904.6474,322.3567,1,3.0554,1,959.1119,394.7471,3.047,
438017126012,-357.0,1026.6961,444.0614,1,3.0984,1,901.2919,342.2455,1,3.0165,1,963.994,393.1534,3.0574,
438017130011,-353.0,1004.5095,455.7529,1,3.0713,1,876.4617,315.1074,1,3.0814,1,940.4856,385.4302,3.0764,
438017134011,-349.0,1013.0252,459.5703,1,3.0748,1,885.0215,336.2033,1,2.9919,1,949.0233,397.8868,3.0333,
438017138011,-345.0,1011.2542,462.6365,1,3.0719,1,903.494,337.8581,1,2.9981,1,957.3741,400.2473,3.035,
438017142011,-341.0,1012.2297,453.8428,1,3.1057,1,885.0042,334.9329,1,2.999,1,948.6169,394.3878,3.0524,
438017146011,-337.0,1001.0093,456.179,1,3.0791,1,881.7163,336.8106,1,3.0464,1,941.3628,396.4948,3.0628,
438017150013,-333.0,1015.5281,433.8893,1,3.1107,1,891.2094,325.5633,1,3.0214,1,953.3687,379.7263,3.0661,
438017154011,-329.0,1010.7251,438.8034,1,3.1373,1,854.8722,343.6471,1,3.0259,1,932.7987,391.2252,3.0816,
438017158010,-325.0,1009.4009,429.1675,1,3.1036,1,874.9289,310.9892,1,3.0319,1,942.1649,370.0783,3.0677,
438017162010,-321.0,1010.9734,467.1038,1,3.0563,1,892.4045,344.3973,1,3.0228,1,951.6889,405.7505,3.0396,
438017166010,-317.0,1014.2261,452.2364,1,3.0608,1,914.9658,303.2645,1,3.0881,1,964.596,377.7504,3.0744,
438017170010,-313.0,1022.5484,462.5351,1,3.0958,1,891.5408,331.5244,1,3.0362,1,957.0446,397.0297,3.066,
438017174010,-309.0,1013.554,466.295,1,3.0474,1,890.2314,335.7629,1,2.9984,1,951.8927,401.0289,3.0229,
438017178012,-305.0,1021.8044,481.3291,1,3.0235,1,883.9808,330.5845,1,2.9997,1,952.8926,405.9568,3.0116,
438017182012,-301.0,1020.6729,450.5241,1,3.0788,1,890.2671,346.7425,1,3.041,1,955.47,398.6333,3.0599,
438017186012,-297.0,1011.2815,453.147,1,3.0765,1,894.6055,339.2841,1,3.0122,1,952.9435,396.2155,3.0444,
438017190012,-293.0,1001.0543,454.1438,1,3.0631,1,892.5409,352.7209,1,3.0068,1,946.7976,403.4323,3.035,
438017194012,-289.0,1011.2094,472.6653,1,3.0634,1,872.8393,344.3946,1,3.0735,1,942.0244,408.5299,3.0685,
438017198010,-285.0,1027.345,469.8379,1,3.0948,1,888.0149,329.7694,1,3.036,1,957.68,399.8036,3.0654,
438017202010,-281.0,1005.2262,456.2864,1,3.1343,1,865.494,339.7221,1,3.0512,1,935.3601,398.0042,3.0928,
438017206014,-277.0,1009.4727,443.6836,1,3.0453,1,899.964,353.2154,1,3.0036,1,954.7184,398.4495,3.0245,
438017210014,-273.0,1031.6223,446.5804,1,3.1015,1,884.1387,340.4913,1,3.0101,1,957.8805,393.5359,3.0558,
438017214014,-269.0,1008.9638,426.0215,1,3.1731,1,875.7563,327.6802,1,3.0427,1,942.36,376.8508,3.1079,
438017218014,-265.0,996.3018,446.6837,1,3.13,1,885.7073,336.9545,1,3.0363,1,941.0046,391.8191,3.0831,
438017222014,-261.0,1001.5529,438.3833,1,3.1722,1,881.4783,320.8799,1,3.0576,1,941.5156,379.6316,3.1149,
438017226014,-257.0,1001.4849,481.5928,1,3.0681,1,897.2201,342.6185,1,3.0337,1,949.3525,412.1056,3.0509,
438017230014,-253.0,1027.6037,470.1422,1,3.0782,1,900.0982,337.5561,1,3.0547,1,963.851,403.8492,3.0665,
438017234014,-249.0,1017.2713,485.12,1,3.0628,1,904.2795,317.5786,1,3.0709,1,960.7754,401.3493,3.0668,
438017238014,-245.0,1019.0659,471.8951,1,3.0565,1,898.4606,338.0034,1,3.0297,1,958.7633,404.9493,3.0431,
438017242014,-241.0,1009.7483,455.737,1,3.127,1,877.6178,338.9916,1,3.0053,1,943.683,397.3643,3.0661,
438017246014,-237.0,1022.7024,451.3085,1,3.1151,1,889.3494,331.8246,1,3.0646,1,956.0259,391.5665,3.0899,
438017250014,-233.0,1022.6316,455.034,1,3.0726,1,889.3192,337.3404,1,3.0385,1,955.9754,396.1872,3.0555,
438017254014,-229.0,1020.1905,457.5617,1,3.0766,1,897.5018,335.8952,1,3.0183,1,958.8461,396.7284,3.0475,
438017258014,-225.0,1009.4758,461.1781,1,3.1001,1,869.6718,334.1532,1,3.0451,1,939.5738,397.6657,3.0726,
438017262014,-221.0,1014.4102,483.1014,1,3.0686,1,898.2899,356.8864,1,2.9964,1,956.3501,419.9939,3.0325,
438017266014,-217.0,1030.5281,455.7203,1,3.076,1,895.2568,360.361,1,2.9891,1,962.8925,408.0406,3.0325,
438017270014,-213.0,1004.6486,449.9311,1,3.1344,1,876.8885,342.3572,1,3.0543,1,940.7685,396.1441,3.0943,
438017274014,-209.0,1014.7925,458.8141,1,3.1299,1,902.5483,338.3211,1,3.0264,1,958.6704,398.5676,3.0782,
438017278014,-205.0,1017.1101,461.7791,1,3.0793,1,864.4402,333.2983,1,3.0776,1,940.7752,397.5387,3.0784,
438017282014,-201.0,1015.8474,499.7129,1,2.9648,1,874.6881,332.6174,1,3.0162,1,945.2677,416.1652,2.9905,
438017286014,-197.0,1040.349,447.8755,1,3.0882,1,889.628,357.2882,1,3.0298,1,964.9885,402.5819,3.059,
438017290014,-193.0,1022.4432,462.9044,1,3.0621,1,893.7873,336.6304,1,3.0582,1,958.1152,399.7674,3.0602,
438017294005,-189.0,1022.3109,472.5735,1,3.0912,1,880.5961,329.2683,1,3.0775,1,951.4535,400.9209,3.0844,
438017298014,-185.0,998.8324,468.8461,1,3.0634,1,883.4768,325.3995,1,3.0469,1,941.1546,397.1228,3.0552,
438017302005,-181.0,1010.9173,487.694,1,3.0686,1,897.809,337.9483,1,3.0696,1,954.3631,412.8211,3.0691,
438017306005,-177.0,1000.8674,466.4276,1,3.1179,1,867.635,338.5949,1,3.0366,1,934.2512,402.5112,3.0773,
438017310006,-173.0,1004.1442,430.9916,1,3.1888,1,886.6623,325.3614,1,3.0726,1,945.4032,378.1765,3.1307,
438017314006,-169.0,1012.6559,475.7191,1,3.1311,1,884.2308,322.9675,1,3.0875,1,948.4434,399.3433,3.1093,
438017318006,-165.0,1019.5481,486.2955,1,3.0607,1,882.4883,327.3046,1,3.0862,1,951.0182,406.8001,3.0735,
438017322006,-161.0,1005.7132,463.9094,1,3.1029,1,896.3434,341.5118,1,3.0242,1,951.0283,402.7106,3.0635,
438017326015,-157.0,1007.6159,466.72,1,3.114,1,875.3273,329.6979,1,3.0872,1,941.4716,398.2089,3.1006,
438017330015,-153.0,998.5305,442.9685,1,3.1284,1,891.6201,354.2877,1,3.0418,1,945.0753,398.6281,3.0851,
438017334016,-149.0,1016.0877,472.4749,1,3.1105,1,883.9148,341.498,1,3.0558,1,950.0013,406.9865,3.0831,
438017338016,-145.0,1025.8801,443.7256,1,3.179,1,888.2506,340.9777,1,3.0928,1,957.0653,392.3516,3.1359,
438017342016,-141.0,1027.4926,464.794,1,3.0422,1,882.4183,326.5637,1,3.036,1,954.9554,395.6789,3.0391,
438017346016,-137.0,1022.3792,457.1321,1,3.1141,1,893.2056,366.4387,1,3.015,1,957.7924,411.7854,3.0646,
438017350016,-133.0,1007.9026,464.0807,1,3.1124,1,901.2597,329.9855,1,3.0712,1,954.5811,397.0331,3.0918,
438017354016,-129.0,1021.6049,458.3179,1,3.1621,1,888.0845,336.5202,1,3.0569,1,954.8447,397.4191,3.1095,
438017358016,-125.0,1034.2522,458.6034,1,3.1228,1,875.1688,336.7572,1,3.1176,1,954.7105,397.6803,3.1202,
438017362016,-121.0,1001.4861,460.8112,1,3.1036,1,866.2212,349.5333,1,3.094,1,933.8536,405.1722,3.0988,
438017366016,-117.0,1010.5075,447.1361,1,3.1557,1,881.2172,336.5097,1,3.0114,1,945.8623,391.8229,3.0835,
438017370016,-113.0,1021.1775,487.481,1,3.0226,1,883.4689,349.2073,1,3.0832,1,952.3232,418.3441,3.0529,
438017374016,-109.0,1021.324,465.5886,1,3.1125,1,888.459,339.7923,1,3.0874,1,954.8915,402.6904,3.0999,
438017378015,-105.0,1016.3345,443.3047,1,3.1506,1,891.403,335.2582,1,3.0392,1,953.8687,389.2814,3.0949,
438017382016,-101.0,1012.481,460.4182,1,3.1022,1,903.4384,345.4598,1,3.0746,1,957.9597,402.939,3.0884,
438017386016,-97.0,1012.0761,476.5106,1,3.1118,1,879.5194,355.3677,1,3.0694,1,945.7977,415.9391,3.0906,
438017390014,-93.0,1028.2779,457.7473,1,3.137,1,917.8571,343.6766,1,3.058,1,973.0675,400.7119,3.0975,
438017394016,-89.0,1054.899,465.9212,1,3.1205,1,933.8634,347.6314,1,3.0486,1,994.3812,406.7763,3.0845,
438017398016,-85.0,1091.6228,471.3311,1,3.113,1,969.3926,344.3497,1,3.0665,1,1030.5077,407.8404,3.0898,
438017402014,-81.0,1102.1951,443.3516,1,3.1465,1,949.2452,323.8296,1,3.0865,1,1025.7202,383.5906,3.1165,
438017406014,-77.0,1059.9758,493.2499,1,3.0569,1,936.4669,358.5042,1,3.0326,1,998.2213,425.8771,3.0447,
438017410014,-73.0,1050.9935,450.0873,1,3.1269,1,919.686,327.0076,1,3.0914,1,985.3397,388.5475,3.1092,
438017414014,-69.0,1047.7113,472.6101,1,3.0387,1,941.2206,340.5029,1,3.083,1,994.466,406.5565,3.0609,
438017418014,-65.0,1063.9256,456.7803,1,3.1352,1,934.4532,340.8865,1,3.0794,1,999.1894,398.8334,3.1073,
438017422014,-61.0,1050.1881,465.7672,1,3.1156,1,934.493,346.7444,1,3.0346,1,992.3405,406.2558,3.0751,
438017426014,-57.0,1057.622,450.6381,1,3.1295,1,952.0026,344.3157,1,3.0701,1,1004.8123,397.4769,3.0998,
438017430014,-53.0,1061.0747,480.1195,1,3.102,1,945.4808,346.239,1,3.025,1,1003.2778,413.1792,3.0635,
438017434014,-49.0,1046.7326,452.7034,1,3.1409,1,961.054,349.7249,1,3.0116,1,1003.8933,401.2141,3.0762,
438017438014,-45.0,1065.8171,457.2037,1,3.0923,1,964.9361,340.6044,1,3.071,1,1015.3766,398.9041,3.0817,
438017442014,-41.0,1050.1295,484.8241,1,3.1118,1,944.4471,341.9834,1,3.0783,1,997.2883,413.4037,3.095,
438017446014,-37.0,1060.9329,458.696,1,3.1248,1,935.9835,326.5238,1,3.0798,1,998.4582,392.6099,3.1023,
