participant_id,trial_index,trial_name,block_id,block_index,n_samples,trial_duration_sec,valid_duration_sec,left_n_valid,left_percent_valid,right_n_valid,right_percent_valid,mean_percent_valid,val_left_deg,val_right_deg,val_mean_deg,val_left_px,val_right_px,val_mean_px
MWK007,8,sesameindia_2,sesame,2,14919,59.67,49.95,13113,87.89,11861,79.5,83.7,1.6095,0.9891,1.2993,4.8556,2.9838,3.9197
MWK007,9,sesameus_2,sesame,2,14918,59.66,53.54,13572,90.98,13199,88.48,89.73,1.6095,0.9891,1.2993,4.8556,2.9838,3.9197
MWK007,10,sesameindia_1,sesame,2,14916,59.65,55.91,14103,94.55,13851,92.86,93.7,1.6095,0.9891,1.2993,4.8556,2.9838,3.9197
MWK007,11,pixar_birds,pixar,3,37420,149.67,140.27,34989,93.5,35148,93.93,93.72,0.7035,0.6954,0.6995,2.1223,2.0979,2.1101
MWK008,0,frank_play,frank,0,14918,59.66,55.85,14316,95.96,13611,91.24,93.6,2.6392,2.1751,2.4072,7.9644,6.5638,7.2641
MWK008,1,frank_objects,frank,0,14917,59.66,48.5,12738,85.39,11510,77.16,81.28,2.6392,2.1751,2.4072,7.9644,6.5638,7.2641
MWK008,2,frank_complex,frank,0,14916,59.65,58.01,14578,97.73,14428,96.73,97.23,2.6392,2.1751,2.4072,7.9644,6.5638,7.2641
MWK008,3,slow_hands,slow,1,14920,59.67,57.13,14095,94.47,14469,96.98,95.72,1.0238,0.5994,0.8116,3.0897,1.8088,2.4493
MWK008,4,slow_inanimate,slow,1,14918,59.66,51.79,13828,92.69,12068,80.9,86.79,1.0238,0.5994,0.8116,3.0897,1.8088,2.4493
MWK008,5,slow_people,slow,1,14917,59.66,24.19,6298,42.22,5799,38.88,40.55,1.0238,0.5994,0.8116,3.0897,1.8088,2.4493
MWK008,6,slow_animals,slow,1,14916,59.65,39.18,7972,53.45,11616,77.88,65.66,1.0238,0.5994,0.8116,3.0897,1.8088,2.4493
MWK008,7,sesameindia_1,sesame,2,14918,59.66,57.92,14501,97.2,14458,96.92,97.06,1.2337,1.4519,1.3428,3.723,4.3815,4.0522
MWK008,8,sesameus_1,sesame,2,14923,59.68,46.35,10712,71.78,12462,83.51,77.65,1.2337,1.4519,1.3428,3.723,4.3815,4.0522
MWK008,9,sesameindia_2,sesame,2,14919,59.66,49.34,12824,85.96,11846,79.4,82.68,1.2337,1.4519,1.3428,3.723,4.3815,4.0522
MWK008,10,sesameus_2,sesame,2,14923,59.68,32.82,5611,37.6,10797,72.35,54.98,1.2337,1.4519,1.3428,3.723,4.3815,4.0522
MWK008,11,pixar_birds,pixar,3,37422,149.67,80.96,25091,67.05,15387,41.12,54.08,2.0232,1.1469,1.5851,6.1056,3.4611,4.7834
MWK009,0,frank_complex,frank,0,14921,59.67,57.64,14545,97.48,14274,95.66,96.57,0.3716,0.5596,0.4656,1.1214,1.6888,1.4051
MWK009,1,frank_objects,frank,0,14924,59.68,57.38,14492,97.11,14200,95.15,96.13,0.3716,0.5596,0.4656,1.1214,1.6888,1.4051
MWK009,2,frank_play,frank,0,14919,59.66,56.35,14198,95.17,13977,93.69,94.43,0.3716,0.5596,0.4656,1.1214,1.6888,1.4051
MWK009,3,sesameindia_2,sesame,1,14920,59.67,29.43,6840,45.84,7877,52.79,49.32,0.4952,0.8455,0.6704,1.4943,2.5516,2.0229
MWK009,4,sesameindia_1,sesame,1,14924,59.68,57.38,14310,95.89,14379,96.35,96.12,0.4952,0.8455,0.6704,1.4943,2.5516,2.0229
MWK009,5,sesameus_1,sesame,1,14918,59.66,58.54,14635,98.1,14636,98.11,98.11,0.4952,0.8455,0.6704,1.4943,2.5516,2.0229
MWK009,6,sesameus_2,sesame,1,14923,59.68,54.5,13617,91.25,13635,91.37,91.31,0.4952,0.8455,0.6704,1.4943,2.5516,2.0229
MWK009,7,slow_inanimate,slow,2,14917,59.65,52.53,12985,87.05,13282,89.04,88.04,0.8844,0.8606,0.8725,2.6689,2.5971,2.633
MWK009,8,slow_people,slow,2,14916,59.65,47.87,12556,84.18,11380,76.29,80.24,0.8844,0.8606,0.8725,2.6689,2.5971,2.633
MWK009,9,slow_animals,slow,2,14918,59.66,51.72,13023,87.3,12836,86.04,86.67,0.8844,0.8606,0.8725,2.6689,2.5971,2.633
MWK009,10,slow_hands,slow,2,14920,59.67,55.72,14120,94.64,13741,92.1,93.37,0.8844,0.8606,0.8725,2.6689,2.5971,2.633
MWK009,11,pixar_birds,pixar,3,37420,149.67,132.9,35266,94.24,31183,83.33,88.79,0.3788,0.6121,0.4955,1.1431,1.847,1.495
MWK010,0,slow_hands,slow,0,14918,59.66,56.21,14041,94.12,14064,94.28,94.2,14.0551,14.5202,14.2876,42.4141,43.8177,43.1159
MWK010,1,slow_inanimate,slow,0,14917,59.65,45.0,11185,74.98,11315,75.85,75.42,14.0551,14.5202,14.2876,42.4141,43.8177,43.1159
MWK010,2,slow_people,slow,0,14922,59.67,54.98,13683,91.7,13805,92.51,92.11,14.0551,14.5202,14.2876,42.4141,43.8177,43.1159
MWK010,3,slow_animals,slow,0,14916,59.65,48.61,12098,81.11,12205,81.82,81.47,14.0551,14.5202,14.2876,42.4141,43.8177,43.1159
MWK010,4,frank_play,frank,1,14917,59.66,53.94,13457,90.21,13514,90.59,90.4,0.8222,0.8602,0.8412,2.4813,2.5959,2.5386
MWK010,5,frank_objects,frank,1,14918,59.66,54.85,13701,91.84,13723,91.99,91.92,0.8222,0.8602,0.8412,2.4813,2.5959,2.5386
MWK010,6,frank_complex,frank,1,14921,59.67,55.56,13884,93.05,13894,93.12,93.08,0.8222,0.8602,0.8412,2.4813,2.5959,2.5386
MWK010,7,sesameus_1,sesame,2,14918,59.66,54.82,13714,91.93,13694,91.8,91.86,9.8277,9.3799,9.6038,29.6572,28.3059,28.9815
MWK010,8,sesameindia_2,sesame,2,14919,59.67,55.98,13917,93.28,14073,94.33,93.81,9.8277,9.3799,9.6038,29.6572,28.3059,28.9815
MWK010,9,sesameindia_1,sesame,2,14918,59.66,55.19,13770,92.3,13825,92.67,92.49,9.8277,9.3799,9.6038,29.6572,28.3059,28.9815
MWK010,10,sesameus_2,sesame,2,14923,59.68,56.35,14088,94.4,14086,94.39,94.4,9.8277,9.3799,9.6038,29.6572,28.3059,28.9815
MWK010,11,pixar_birds,pixar,3,37417,149.66,139.62,34376,91.87,35434,94.7,93.29,7.7359,8.7041,8.22,23.3447,26.2664,24.8056
HMET014,0,sesameindia_1,sesame,0,14925,59.69,55.36,13762,92.21,13920,93.27,92.74,1.299,1.9087,1.6038,3.92,5.7598,4.8399
HMET014,1,sesameindia_2,sesame,0,14921,59.67,40.49,10146,68.0,10098,67.68,67.84,1.299,1.9087,1.6038,3.92,5.7598,4.8399
HMET014,2,sesameus_2,sesame,0,14916,59.65,47.51,12294,82.42,11462,76.84,79.63,1.299,1.9087,1.6038,3.92,5.7598,4.8399
HMET014,3,sesameus_1,sesame,0,14917,59.65,37.73,10126,67.88,8739,58.58,63.23,1.299,1.9087,1.6038,3.92,5.7598,4.8399
HMET014,4,frank_objects,frank,1,14916,59.65,32.1,8905,59.7,7146,47.91,53.8,1.5338,0.6181,1.0759,4.6285,1.8652,3.2468
HMET015,0,sesameus_1,sesame,0,14923,59.68,50.24,13841,92.75,11279,75.58,84.17,2.3717,2.9325,2.6521,7.1572,8.8494,8.0033
HMET015,1,sesameindia_1,sesame,0,14788,60.81,55.12,14559,98.45,13000,87.91,93.18,2.3717,2.9325,2.6521,7.1572,8.8494,8.0033
HMET015,2,sesameus_2,sesame,0,14919,59.67,49.98,13434,90.05,11556,77.46,83.75,2.3717,2.9325,2.6521,7.1572,8.8494,8.0033
